Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"RV3,RV2,RV1",Potentiometer_Omeg_PC16BU_Vertical,3,100k,
2,R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.2k,
3,R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
4,"R19,R17,R8,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,100k,
5,R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,390k,
6,"R16,R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,39k,
7,"R15,R11,R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,100,
8,"R14,R10,R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,15k,
9,"R13,R9,R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,470k,
10,"R12,R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,8.2k,
11,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
12,"Q5,Q4,Q2,Q1",TO-92_Inline,4,2N5088,
13,J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Female,
14,"D4,D3,D2,D1",D_A-405_P7.62mm_Horizontal,4,1n4148,
15,"C13,C7,C4,C3,C1",CP_Radial_D5.0mm_P2.00mm,5,1u,
16,"C12,C8,C5",C_Disc_D7.5mm_W2.5mm_P5.00mm,3,100n,
17,C11,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,10n,
18,C10,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,4n,
19,"C9,C6,C2",C_Disc_D7.5mm_W2.5mm_P5.00mm,3,500p,
